asset_id,title,asset_type,sport,home_school,away_school,scheduled_start_ts,duration_seconds
500846,Hillcrest vs Millbrook Baseball,LIVE,BASEBALL,Hillcrest,Millbrook,2025-11-11T08:59:44Z,9545
500068,Northgate vs Westlake Volleyball,VOD,VB,Northgate,Westlake,2025-11-04T01:55:51Z,5906
500741,Northgate vs Stonewall Wrestling,LIVE,WRESTLING,Northgate,Stonewall,2025-10-23T13:11:13Z,7257
500487,Northgate vs Riverside Volleyball,VOD,VOLLEYBALL,Northgate,Riverside,2026-01-21T08:39:35Z,6494
500848,Westlake vs Jefferson Baseball,VOD,BASEBALL,Westlake,Jefferson,2026-01-30T16:28:51Z,7108
500285,Oakwood vs Clearwater Hockey,LIVE,HOCKEY,Oakwood,Clearwater,2025-09-01T18:36:42Z,6235
500083,Northgate vs Pinecrest Basketball,LIVE,BASKETBALL,Northgate,Pinecrest,2025-12-22T01:38:29Z,7562
500803,Greenwood vs Dunmore Baseball,VOD,BASEBALL,Greenwood,Dunmore,2025-11-27T05:19:42Z,8058
500771,Greenwood vs Stonewall Basketball,VOD,BASKETBALL,Greenwood,Stonewall,2026-02-16T10:13:08Z,-1
500767,Dunmore vs Elmhurst Lacrosse,LIVE,LACROSSE,Dunmore,Elmhurst,2026-02-25T20:29:15Z,6278
500097,Dunmore vs Stonewall Basketball,LIVE,BASKETBALL,Dunmore,Stonewall,2026-02-04T13:17:10Z,6659
500388,Westlake vs Dunmore Hockey,LIVE,HOCKEY,Westlake,Dunmore,2026-01-05T05:32:01Z,8521
500700,Lakeview vs Summit Soccer,LIVE,SOCCER,Lakeview,Summit,2026-01-19T12:52:29Z,8679
500437,Millbrook vs Lakeview Hockey,VOD,HOCKEY,Millbrook,Lakeview,2025-12-01T12:29:02Z,6690
500595,Fairfield vs Lincoln Track,VOD,TRACK,Fairfield,Lincoln,2025-11-29T17:16:56Z,7066
500178,Jefferson vs Ashford Softball,LIVE,SOFTBALL,Jefferson,Ashford,2026-02-24T10:06:06Z,7691
500614,Dunmore vs Riverside Basketball,LIVE,BASKETBALL,Dunmore,Riverside,2025-11-01T10:40:55Z,5403
500668,Kingsport vs Westlake Softball,LIVE,SOFTBALL,Kingsport,Westlake,2025-09-03T11:49:50Z,5974
500048,Elmhurst vs Lincoln Softball,VOD,SOFTBALL,Elmhurst,Lincoln,2025-11-12T08:14:01Z,8689
500642,Millbrook vs Bayshore Wrestling,VOD,WRESTLING,Millbrook,Bayshore,2026-02-07T07:36:01Z,6320
500425,Brookfield vs Greenwood Lacrosse,VOD,LACROSSE,Brookfield,Greenwood,2025-10-02T13:29:51Z,8549
500343,Northgate vs Millbrook Volleyball,LIVE,VOLLEYBALL,Northgate,Millbrook,2025-12-31T01:29:32Z,9053
500569,Eastside vs Ashford Track,VOD,TRACK,Eastside,Ashford,2025-09-07T05:02:22Z,7990
500656,Oakwood vs Lakeview Soccer,VOD,SOCCER,Oakwood,Lakeview,2025-10-12T08:16:48Z,8211
500374,Elmhurst vs Hillcrest Wrestling,LIVE,Wrestling,Elmhurst,Hillcrest,2025-10-13T03:29:15Z,7473
500401,Elmhurst vs Greenwood Baseball,LIVE,BASEBALL,Elmhurst,Greenwood,2025-09-22T06:51:08Z,6461
500519,Hillcrest vs Clearwater Track,VOD,TRACK,Hillcrest,Clearwater,2025-09-23T14:04:52Z,9546
500504,Lakeview vs Lincoln Track,VOD,TRACK,Lakeview,Lincoln,2026-02-04T14:36:12Z,7231
500660,Millbrook vs Lakeview Softball,LIVE,SOFTBALL,Millbrook,Lakeview,2025-12-14T10:14:51Z,9071
500140,Brookfield vs Ashford Football,LIVE,football,Brookfield,Ashford,2025-10-19T16:08:15Z,8342
500542,Hillcrest vs Ridgeview Volleyball,VOD,VOLLEYBALL,Hillcrest,Ridgeview,2026-01-04T14:54:13Z,7364
500338,Pinecrest vs Lakeview Basketball,VOD,BASKETBALL,Pinecrest,Lakeview,2025-11-28T04:30:38Z,8190
500648,Dunmore vs Clearwater Softball,LIVE,SOFTBALL,Dunmore,Clearwater,2026-01-03T04:00:54Z,8951
500523,Dunmore vs Summit Basketball,LIVE,Basketball,Dunmore,Summit,2026-02-25T15:13:22Z,8629
500527,Summit vs Clearwater Volleyball,VOD,VOLLEYBALL,Summit,Clearwater,2025-11-17T06:53:19Z,8523
500126,Riverside vs Ashford Track,VOD,TRACK,Riverside,Ashford,2025-09-23T19:08:47Z,7180
500380,Hillcrest vs Riverside Baseball,VOD,BASEBALL,Hillcrest,Riverside,2026-02-16T23:20:33Z,7307
500442,Ridgeview vs Jefferson Soccer,LIVE,SOCCER,Ridgeview,Jefferson,2025-10-24T07:58:35Z,7945
500617,Riverside vs Ashford Baseball,LIVE,BASEBALL,Riverside,Ashford,2025-09-19T17:57:41Z,7429
500215,Greenwood vs Bayshore Track,VOD,TRACK,Greenwood,Bayshore,2025-12-13T19:46:28Z,5446
500093,Eastside vs Kingsport Softball,LIVE,SOFTBALL,Eastside,Kingsport,2025-11-01T01:06:10Z,8497
500267,Lakeview vs Central Baseball,VOD,BASEBALL,Lakeview,Central,2025-11-16T02:55:52Z,6352
500165,Eastside vs Brookfield Wrestling,VOD,WRESTLING,Eastside,Brookfield,2026-01-25T00:16:15Z,8717
500134,Brookfield vs Jefferson Hockey,LIVE,HOCKEY,Brookfield,Jefferson,2025-12-20T23:57:07Z,9250
500105,Summit vs Kingsport Softball,VOD,SOFTBALL,Summit,Kingsport,2025-10-29T15:18:58Z,5429
500251,Millbrook vs Ashford Basketball,VOD,BASKETBALL,Millbrook,Ashford,2025-12-09T17:49:32Z,7863
500061,Riverside vs Kingsport Soccer,LIVE,SOCCER,Riverside,Kingsport,2025-11-17T09:20:14Z,8641
500620,Greenwood vs Ashford Football,VOD,FOOTBALL,Greenwood,Ashford,2025-11-12T22:11:55Z,9220
