subscription_id,user_id,plan_type,status,event_effective_ts,mrr_amount,currency
900001,102113,free_trial,trialing,2026-01-06T23:50:01Z,0.0,USD
900001,102113,monthly,active,2026-01-09T23:50:01Z,9.99,USD
900002,105330,monthly,active,2025-10-01T20:09:35Z,9.99,USD
900002,105330,monthly,canceled,2026-01-17T20:09:35Z,9.99,USD
900003,102968,monthly,active,2025-12-11 13:46:07,9.99,USD
900003,102968,monthly,canceled,2026-03-28 13:46:07,9.99,USD
900004,102222,free_trial,trialing,2025-11-27T05:56:33Z,0.0,USD
900004,102222,annual,active,2025-11-30T05:56:33Z,79.99,USD
900004,102222,annual,canceled,2026-03-07T05:56:33Z,79.99,USD
900005,101178,free_trial,trialing,2025-09-10T03:26:21Z,0.0,USD
900005,101178,annual,active,2025-09-21 22:26:21,79.99,USD
900006,106027,free_trial,trialing,2025-12-28T12:40:53Z,0.0,USD
900006,106027,free_trial,expired,2026-01-08T12:40:53Z,0.0,USD
900007,105662,monthly,active,2025-12-27T23:52:54Z,9.99,USD
900007,105662,monthly,expired,2026-03-26T23:52:54Z,9.99,USD
900008,100292,free_trial,trialing,2025-08-16T15:13:24Z,0.0,USD
900008,100292,free_trial,expired,2025-08-23T15:13:24Z,0.0,USD
900009,102611,monthly,active,2025-08-01T05:02:41Z,9.99,USD
900010,106140,free_trial,trialing,2025-12-12T10:17:20Z,0.0,USD
900010,106140,monthly,active,2025-12-15 05:17:20,9.99,USD
900011,100481,monthly,active,2026-02-09T12:20:56Z,9.99,USD
900012,101969,free_trial,trialing,2025-10-18T23:52:47Z,0.0,USD
900013,102173,monthly,active,2025-08-21 10:13:25,9.99,USD
900013,102173,monthly,expired,2026-02-17T15:13:25Z,9.99,USD
900014,103416,annual,active,2025-10-15T23:33:52Z,79.99,USD
900015,106487,free_trial,trialing,2025-11-15T18:36:20Z,0.0,USD
900015,106487,monthly,active,2025-11-26T18:36:20Z,9.99,USD
900016,105595,free_trial,trialing,2025-08-19 16:54:38,0.0,USD
900016,105595,annual,active,2025-08-30T21:54:38Z,79.99,USD
900016,105595,annual,canceled,2025-12-27T21:54:38Z,79.99,USD
900017,107777,annual,active,2026-01-16T22:35:10Z,79.99,USD
900018,105339,monthly,active,2025-11-03T15:13:46Z,9.99,USD
900019,106932,monthly,active,2025-11-20T03:46:36Z,9.99,USD
